Security,FB US Equity                                                    ,
Start Date,5/1/2015 0:00,
End Date,5/14/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
7/24/2018,214.67,28468681
7/23/2018,210.91,16731969
7/20/2018,209.94,16241508
7/19/2018,208.09,11350429
7/18/2018,209.36,15334907
7/17/2018,209.99,15349892
7/16/2018,207.23,11078209
7/13/2018,207.32,11503401
7/12/2018,206.92,15454706
7/11/2018,202.54,12927377
7/10/2018,203.54,13190067
7/9/2018,204.74,18149437
7/6/2018,203.23,19740131
7/5/2018,198.45,19684193
7/3/2018,192.73,13489514
7/2/2018,197.36,13961578
6/29/2018,194.32,15811602
6/28/2018,196.23,18172439
6/27/2018,195.84,18734408
6/26/2018,199,17897576
6/25/2018,196.35,25275137
6/22/2018,201.74,17420188
6/21/2018,201.5,19045717
6/20/2018,202,28230933
6/19/2018,197.49,19993996
6/18/2018,198.31,16826023
6/15/2018,195.85,21860931
6/14/2018,196.81,19120866
6/13/2018,192.41,15853821
6/12/2018,192.4,11562704
6/11/2018,191.54,12928907
6/8/2018,189.1,12677092
6/7/2018,188.18,21503171
6/6/2018,191.34,22558920
6/5/2018,192.94,15544294
6/4/2018,193.28,18939795
6/1/2018,193.99,17307245
5/31/2018,191.78,30782631
5/30/2018,187.67,13736866
5/29/2018,185.74,16398937
5/25/2018,184.92,10965061
5/24/2018,185.93,12354742
5/23/2018,186.9,16628100
5/22/2018,183.8,12731419
5/21/2018,184.49,13532864
5/18/2018,182.68,13130451
5/17/2018,183.76,14840675
5/16/2018,183.2,16975495
5/15/2018,184.32,15429433
5/14/2018,186.64,15646744
5/11/2018,186.99,21207848
5/10/2018,185.53,21071403
5/9/2018,182.66,23282811
5/8/2018,178.92,15577211
5/7/2018,177.97,18697195
5/4/2018,176.61,17677844
5/3/2018,174.02,24026071
5/2/2018,176.07,30424450
5/1/2018,173.86,26025932
4/30/2018,172,20750478
4/27/2018,173.59,29804657
4/26/2018,174.16,77556934
4/25/2018,159.69,41083581
4/24/2018,159.69,35079926
4/23/2018,165.84,23088102
4/20/2018,166.28,19119438
4/19/2018,168.1,22234961
4/18/2018,166.36,20969568
4/17/2018,168.66,22743029
4/16/2018,164.83,18119435
4/13/2018,164.52,19990561
4/12/2018,163.87,38262956
4/11/2018,166.32,56144633
4/10/2018,165.04,58947041
4/9/2018,157.93,34915227
4/6/2018,157.2,41644812
4/5/2018,159.34,41449609
4/4/2018,155.1,49885584
4/3/2018,156.11,42543865
4/2/2018,155.39,36795991
3/29/2018,159.79,59434293
3/28/2018,153.03,60029170
3/27/2018,152.22,79116995
3/26/2018,160.06,126116634
3/23/2018,159.39,53609706
3/22/2018,164.89,73742979
3/21/2018,169.39,106598834
3/20/2018,168.15,129851768
3/19/2018,172.56,88140060
3/16/2018,185.09,24403438
3/15/2018,183.86,15645035
3/14/2018,184.19,16821728
3/13/2018,181.88,18067477
3/12/2018,184.76,15301229
3/9/2018,185.23,18526292
3/8/2018,182.34,17225946
3/7/2018,183.71,19097293
3/6/2018,179.78,15086784
3/5/2018,180.4,16189280
3/2/2018,176.62,20025905
3/1/2018,175.94,23201626
2/28/2018,178.32,18783039
2/27/2018,181.46,15849806
2/26/2018,184.93,17599703
2/23/2018,183.29,19007288
2/22/2018,178.99,18464192
2/21/2018,177.91,23200804
2/20/2018,176.01,21204921
2/16/2018,177.36,21015610
2/15/2018,179.96,20922120
2/14/2018,179.52,28929704
2/13/2018,173.15,21809350
2/12/2018,176.41,32092133
2/9/2018,176.11,39887626
2/8/2018,171.58,38478321
2/7/2018,180.18,27601886
2/6/2018,185.31,37758505
2/5/2018,181.26,33128206
2/2/2018,190.28,26677484
2/1/2018,193.09,54211293
1/31/2018,186.89,43275144
1/30/2018,187.12,20858556
1/29/2018,185.98,20453172
1/26/2018,190,17759212
1/25/2018,187.48,17377740
1/24/2018,186.55,24334548
1/23/2018,189.35,25678781
1/22/2018,185.37,21059464
1/19/2018,181.29,26826540
1/18/2018,179.8,23304901
1/17/2018,177.6,27992376
1/16/2018,178.39,36183842
1/12/2018,179.37,77551299
1/11/2018,187.77,9588587
1/10/2018,187.84,10529894
1/9/2018,187.87,12393057
1/8/2018,188.28,17994726
1/5/2018,186.85,13574535
1/4/2018,184.33,13880896
1/3/2018,184.67,16886563
1/2/2018,181.42,18151903
12/29/2017,176.46,10261456
12/28/2017,177.92,12220760
12/27/2017,177.62,9496071
12/26/2017,175.99,8897286
12/22/2017,177.2,8509451
12/21/2017,177.45,11600700
12/20/2017,177.89,11860497
12/19/2017,179.51,14920582
12/18/2017,180.82,17265376
12/15/2017,180.18,28463101
12/14/2017,178.39,13590999
12/13/2017,178.3,14615718
12/12/2017,176.96,16854098
12/11/2017,179.04,13168575
12/8/2017,179,19883764
12/7/2017,180.14,20404533
12/6/2017,176.06,20255846
12/5/2017,172.83,20184908
12/4/2017,171.47,24459422
12/1/2017,175.1,20182523
11/30/2017,177.18,25307601
11/29/2017,175.13,41933484
11/28/2017,182.42,14379674
11/27/2017,183.03,12344516
11/24/2017,182.78,9426283
11/22/2017,180.87,10376329
11/21/2017,181.86,14503990
11/20/2017,178.74,10052391
11/17/2017,179,13017980
11/16/2017,179.59,15607582
11/15/2017,177.95,10253667
11/14/2017,178.07,9585868
11/13/2017,178.77,9523447
11/10/2017,178.46,11070189
11/9/2017,179.3,12610335
11/8/2017,179.56,10494149
11/7/2017,180.25,12928182
11/6/2017,180.17,13312741
11/3/2017,178.92,17822131
11/2/2017,178.92,35529893
11/1/2017,182.66,40918341
10/31/2017,180.06,20174231
10/30/2017,179.87,24353160
10/27/2017,177.88,30285281
10/26/2017,170.63,11833141
10/25/2017,170.6,15868197
10/24/2017,171.8,12267913
10/23/2017,171.27,13852658
10/20/2017,174.98,12602238
10/19/2017,174.56,14048350
10/18/2017,176.03,12752351
10/17/2017,176.11,15990079
10/16/2017,174.52,11498752
10/13/2017,173.74,13658307
10/12/2017,172.55,10351044
10/11/2017,172.74,11283663
10/10/2017,171.59,11341081
10/9/2017,172.5,14570413
10/6/2017,172.23,13124473
10/5/2017,171.24,14580628
10/4/2017,168.42,12127887
10/3/2017,169.96,8190273
10/2/2017,169.47,13392280
9/29/2017,170.87,15340366
9/28/2017,168.73,12178747
9/27/2017,167.68,19242548
9/26/2017,164.21,23363335
9/25/2017,162.87,41251583
9/22/2017,170.54,12097138
9/21/2017,171.11,11161412
9/20/2017,172.17,12264125
9/19/2017,172.52,13168595
9/18/2017,170.01,12954013
9/15/2017,171.64,15660539
9/14/2017,170.96,15615654
9/13/2017,173.05,9119295
9/12/2017,172.96,11186328
9/11/2017,173.51,12372040
9/8/2017,170.95,10998459
9/7/2017,173.21,18049527
9/6/2017,172.09,13906342
9/5/2017,170.72,13221127
9/1/2017,172.02,11677589
8/31/2017,171.97,17226465
8/30/2017,169.92,11138293
8/29/2017,168.05,11120986
8/28/2017,167.24,8553741
8/25/2017,166.32,12614477
8/24/2017,167.74,14030420
8/23/2017,168.71,9856473
8/22/2017,169.64,11390975
8/21/2017,167.78,11907488
8/18/2017,167.41,15093638
8/17/2017,166.91,17216030
8/16/2017,170,15779924
8/15/2017,171,8729172
8/14/2017,170.75,12954231
8/11/2017,168.08,13791153
8/10/2017,167.4,20832746
8/9/2017,171.18,10814984
8/8/2017,171.23,14393524
8/7/2017,171.98,12787844
8/4/2017,169.62,10777727
8/3/2017,168.59,10793841
8/2/2017,169.3,17433774
8/1/2017,169.86,14384957
7/31/2017,169.25,25478945
7/28/2017,172.45,24557553
7/27/2017,170.44,68910708
7/26/2017,165.61,35236867
7/25/2017,165.28,15383241
7/24/2017,166,17366971
7/21/2017,164.43,14744002
7/20/2017,164.53,18523107
7/19/2017,164.14,26273642
7/18/2017,162.86,23722910
7/17/2017,159.73,12858836
7/14/2017,159.97,16371207
7/13/2017,159.26,13929236
7/12/2017,158.9,22739388
7/11/2017,155.27,13667744
7/10/2017,153.5,13378672
7/7/2017,151.44,13615931
7/6/2017,148.82,14951802
7/5/2017,150.34,14334290
7/3/2017,148.43,13862735
6/30/2017,150.98,17666022
6/29/2017,151.04,23973482
6/28/2017,153.24,16719104
6/27/2017,150.58,19360766
6/26/2017,153.59,18049651
6/23/2017,155.07,18026977
6/22/2017,153.4,13005535
6/21/2017,153.91,15039834
6/20/2017,152.25,14743853
6/19/2017,152.87,19026462
6/16/2017,150.64,22882417
6/15/2017,149.8,18994152
